All,ALL
ARAB SATELLITE COMMUNICATIONS ORGANIZATION,AB
ASIASAT CORP,AC
ALGERIA,ALG
ANGOLA,AGO
ARGENTINA,ARGN
AUSTRIA,ASRA
AUSTRALIA,AUS
AZERBAIJAN,AZER
BELGIUM,BEL
BELARUS,BELA
BERMUDA,BERM
BANGLADESH,BGD
BULGARIA,BGR
BOLIVIA,BOL
BRAZIL,BRAZ
CANADA,CA
CHILE,CHLE
CHINA,PRC
CHINA & BRAZIL,CHBZ
COMMONWEALTH OF INDEPENDENT STATES,CIS
COLOMBIA,COL
CZECHOSLOVAKIA,CZCH
DENMARK,DEN
ECUADOR,ECU
EGYPT,EGYP
EUROPEAN SPACE AGENCY,ESA
EUROPEAN SPACE RESEARCH ORGANIZATION,ESRO
ESTONIA,EST
EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,EUME
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT),EUTE
FRANCE & GERMANY,FGER
FINLAND,FIN
FRANCE,FR
FRANCE & ITALY,FRIT
GERMANY,GER
REPUBLIC OF GHANA,GHA
GLOBALSTAR,GLOB
GREECE,GREC
HUNGARY,HUN
INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT),IM
INDIA,IND
INDONESIA,INDO
IRAN,IRAN
IRAQ,IRAQ
ISRAEL,ISRA
INTERNATIONAL SPACE STATION,ISS
ITALY,IT
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT),ITSO
JAPAN,JPN
KAZAKHSTAN,KAZ
LAOS,LAOS
LITHUANIA,LTU
LUXEMBOURG,LUXE
Morocco,MA
MALAYSIA,MALA
MEXICO,MEX
MONGOLIA,MNG
NORTH ATLANTIC TREATY ORGANIZATION,NATO
NETHERLANDS,NETH
NEW ICO,NICO
NIGERIA,NIG
NORTH KOREA,NKOR
NORWAY,NOR
New Zealand,NZ
O3B NETWORKS,O3B
ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR),ORB
PAKISTAN,PAKI
PERU,PER
POLAND,POL
PORTUGAL,POR
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG,RASC
ROMANIA,ROM
REPUBLIC OF PHILIPPINES,RP
SOUTH AFRICA,SAFR
SAUDI ARABIA,SAUD
SEA LAUNCH DEMO,SEAL
SOCIÉTÉ EUROPÉENNE DES SATELLITES,SES
SINGAPORE,SING
SOUTH KOREA,SKOR
SPAIN,SPN
SINGAPORE & TAIWAN,STCT
SWEDEN,SWED
SWITZERLAND,SWTZ
TAIWAN,ROC
TO BE DETERMINED/UNKNOWN,TBD
THAILAND,THAI
TURKMENISTAN & MONACO,TMMC
TURKEY,TURK
UNITED ARAB EMIRATES,UAE
UNITED KINGDOM,UK
UKRAINE,UKR
URUGUAY,URY
UNITED STATES OF AMERICA,US
UNITED STATES & BRAZIL,USBZ
VENEZUELA,VENZ
VIETNAM,VTNM
